Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
287160,Vistara,UK-830,Hyderabad,Morning,one,Evening,Chennai,Business,6.0,40,51707
287161,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,6.83,40,51707
287162,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,9.33,40,51707
287163,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Chennai,Business,9.5,40,51707
287164,Vistara,UK-830,Hyderabad,Morning,one,Night,Chennai,Business,9.92,40,51707
287165,Vistara,UK-830,Hyderabad,Morning,one,Night,Chennai,Business,12.42,40,51707
287166,Vistara,UK-870,Hyderabad,Night,one,Morning,Chennai,Business,13.33,40,51707
287167,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,Business,13.42,40,51707
287168,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,Business,15.92,40,51707
287169,Vistara,UK-890,Hyderabad,Evening,one,Morning,Chennai,Business,16.25,40,51707
287170,Vistara,UK-870,Hyderabad,Night,one,Evening,Chennai,Business,19.75,40,51707
287171,Vistara,UK-880,Hyderabad,Afternoon,one,Morning,Chennai,Business,20.5,40,51707
287172,Vistara,UK-890,Hyderabad,Evening,one,Evening,Chennai,Business,22.67,40,51707
287173,Vistara,UK-870,Hyderabad,Night,one,Night,Chennai,Business,23.67,40,51707
287174,Vistara,UK-890,Hyderabad,Evening,one,Night,Chennai,Business,26.58,40,51707
287175,Air_India,AI-541,Hyderabad,Evening,one,Night,Chennai,Business,7.33,40,51595
287176,Air_India,AI-543,Hyderabad,Morning,one,Evening,Chennai,Business,7.67,40,51595
287177,Air_India,AI-840,Hyderabad,Night,one,Morning,Chennai,Business,12.08,40,51595
287178,Air_India,AI-543,Hyderabad,Morning,one,Night,Chennai,Business,12.25,40,51595
287179,Air_India,AI-559,Hyderabad,Early_Morning,one,Evening,Chennai,Business,12.5,40,51595
287180,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Chennai,Business,15.83,40,51595
287181,Air_India,AI-541,Hyderabad,Evening,one,Morning,Chennai,Business,16.67,40,51595
287182,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Chennai,Business,17.08,40,51595
287183,Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Chennai,Business,20.42,40,51595
287184,Air_India,AI-543,Hyderabad,Morning,one,Morning,Chennai,Business,21.58,40,51595
287185,Air_India,AI-840,Hyderabad,Night,one,Evening,Chennai,Business,22.17,40,51595
287186,Air_India,AI-543,Hyderabad,Morning,one,Afternoon,Chennai,Business,25.33,40,51595
287187,Vistara,UK-830,Hyderabad,Morning,one,Evening,Chennai,Business,9.58,40,69515
287188,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,9.67,40,77355
287189,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Business,9.83,40,79349
